id,guesses,creatingUsername
1,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
2,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
3,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
4,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
5,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
6,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
7,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
8,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
9,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
10,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
11,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
12,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
13,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
14,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
15,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
16,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
17,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
18,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
19,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
20,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
21,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
22,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
23,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
24,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Germany"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia"", ""Prussia""]",Dweeb
25,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan""]",ooga
26,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",123
27,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",abc
28,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",chopped
29,"[""Italy"", ""japan"", ""japan"", ""japan"", ""japan"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Germany""]",test
